Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/01/2024","79 LONGSTONE, NAAS, CO. KILDARE","Kildare","W91PTF7","�540,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","9 NEW ROW, CHAPELIZOD, DUBLIN 20","Dublin","D20W299","�330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","BOHAUN COTTAGE, KILLAVALLY, WESTPORT","Mayo","F28F653","�215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","EAGLE LODGE, KILGOBBIN RD, SANDYFORD","Dublin","D18A0H9","�808,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","GARDAMUS, MAYGLASS, CO WEXFORD","Wexford","Y35KN77","�280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","KNOCKHALL, ROOSKEY, ROSCOMMON","Roscommon","","�65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","LORAN, ROSCREA, COUNTY TIPPERARY","Tipperary","","�40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","MOUNT EDEN, BALLYCORUS RD, KILTERNAN","Dublin","D18HY74","�1,143,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2024","SHRAGH, KILRUSH, CLARE","Clare","V15PR60","�105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","1 ARDRATH VIEW, CRODAUN, CELBRIDGE","Kildare","","�312,775.32","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","1 COURT AVENUE, WOODQUAY, GALWAY","Galway","H91W6WY","�200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","10 The Boulevard, Grey Abbey View, Kildare Town","Kildare","","�325,991.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","11 TRAONACH, CLOYNE, CORK","Cork","P25D959","�306,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","12 RIVER WALK, GORT, GALWAY","Galway","H91V2N0","�371,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","131 MOOREFIELD PARK, NEWBRIDGE, KILDARE","Kildare","W12Y861","�136,356.50","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","15 BALLYNOE MEWS, BALLYNOE, COBH","Cork","P24ED98","�215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","15 THE WILLOWS, CASTLEBAR, MAYO","Mayo","F23FH50","�210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","17 THOMAS TERRACE, DUNGARVAN, WATERFORD","Waterford","X35KD42","�181,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","18 Newton Green, Newton Heights, Mayfield","Cork","","�226,987.67","Yes","Yes","New Dwelling house /Apartment",""
"03/01/2024","18 SHREWSBURY PARK, BALLSBRIDGE, DUBLIN 4","Dublin","D04X0C2","�1,005,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","18 THE BELFRY, CHAPEL LANE, THOMASTOWN","Kilkenny","R95AC04","�245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","2 WYGRAM GREEN, WYGRAM, WEXFORD","Wexford","Y35WD26","�525,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","20 ARD NA GREINE, BANDUFF RD, BALLYVOLANE","Cork","T23K4C8","�315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","20 The Lane, Coach Road Meadows, Clane","Kildare","","�407,489.98","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","22 Rosetree Green, Curragh Farm, Ballymany","Kildare","","�365,638.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","23 SILVERWOOD, MOUNTMELLICK, LAOIS","Laois","R32DH24","�112,158.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","251 Drumnigh Manor, Portmarnock","Dublin","","�594,714.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","26 BARLEYHILL COURT, BOHOLA, MAYO","Mayo","F12KH28","�190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","26 Hawthorn Way, Kilcabry Grange, Clondalkin","Dublin","","�396,475.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","26 O CURRY PLACE, LIMERICK, LIMERICK","Limerick","V94NY5P","�205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","268 GREENFIELD COURT, TOM BELLEW AVE, DUNDALK","Louth","A91XH9R","�240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","28 HAMPTON COVE, BALBRIGGAN, DUBLIN","Dublin","K32KP82","�297,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","29 BALLYMACOOL WOOD, LETTERKENNY, DONEGAL","Donegal","F92V8N7","�165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","3 COLLEGE PARK, CLONAKILTY, CORK","Cork","P85W638","�421,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","31 DANGAN TERRACE, THOMASTOWN, CO KILKENNY","Kilkenny","R95H7K7","�210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","31 HUGHES ROAD SOUTH, WALKINSTOWN, DUBLIN 12","Dublin","D12VK77","�520,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","35 Oak Way, The Willows, Dunshaughlin","Meath","","�387,665.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","38 ANNAVILLA, RANELAGH, DUBLIN 6","Dublin","D06RT18","�1,250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","39 THE PARK, MILBROOKLAWNS, TALLAGHT","Dublin","D24EDX7","�300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","41 DELHURST MEWS, ONGAR, CLONSILLA DUBLIN 15","Dublin","D15Y1F6","�370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","47 SARSFIELD PARK, LUCAN, DUBLIN","Dublin","K78E2X2","�536,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","48 THE AVENUE, GARRANE DARA, WILTON","Cork","T12DX21","�351,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","6 NORTHBROOK AVE LOWER, NORTH STRAND, DUBLIN 3","Dublin","D03VK49","�518,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","62 GLANTAN, GOLF LINKS RD, CASTLETROY","Limerick","V94CX82","�270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","69 CLAY FARM AVENUE, CLAY FARM, BALLYOGAN ROAD","Dublin","","�643,171.81","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","6, Parkleigh Walk, Seven  Mills","Dublin","","�348,018.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","7 ALPHONSUS COURT, ALPHONSUS ST, LIMERICK","Limerick","V94NP63","�130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","7 Mercer Way, Mercer Vale, Cherrywood","Dublin","","�546,255.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","7 THOMAS STREET, WATERFORD CITY, CO. WATERFORD","Waterford","","�85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","73 GRANVILLE RD, CABINTEELY, DUBLIN 18","Dublin","A96K7P0","�660,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","73 WELWYN RD, MARYBOROUGH WOODS, DOUGLAS","Cork","T12HW72","�330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","8 CASTLE GROVE, KILGOBBIN WOODS, SANDYFORD DUBLIN 18","Dublin","D18PN26","�525,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","8 VARTRY WAY, CAUSEWAY MEADOWS, ROUNDWOOD","Wicklow","","�414,096.92","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","9 LANSDOWNE WOOD, LANSDOWNE RD, DUBLIN 4","Dublin","D04T660","�825,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","9 STONEYVALE, ROOSEY, CO ROSCOMMON","Roscommon","N41EN27","�168,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","9 THE GABLES, TONLEGEE ROAD, DUBLIN 5","Dublin","D05XN15","�300,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","90 KNOWTH COURT, POPPINTREE, DUBLIN 11","Dublin","D11Y9FT","�275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","94 Abbeyville, Galway Road, Roscommon","Roscommon","F42AH75","�262,996.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","98 SAUL RD, CRUMLIN, DUBLIN 12","Dublin","D12E9T0","�335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","AILSA CRAIG, BRIAR HILL, WATERFALL","Cork","T12PY2N","�475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","APT 609 CUBE 2 BEACON SOUTH QUARTER, SANDYFORD, DUBLIN 18","Dublin","D18X5T8","�302,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","APT 8 TYMON FARM, TYMON LANE, BALROTHERY TALLAGHT DUBLIN 24","Dublin","D24PY02","�245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","ARD MHUIRE, BLACKROCK RD, BALLINTEMPLE","Cork","T12XYP6","�208,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","BARBAVILLE HOUSE, COLLINSTOWN, WESTMEATH","Westmeath","N91TV26","�305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","CUAN EALA, DRUMBERN, MILFORD","Donegal","F92PD25","�1,074,160.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","CURRAGHATESKIN, BALLYMACARBRY, VIA CLONMEL","Waterford","","�83,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","DERRYLEIGH, BLACKWATER, KERRY","Kerry","","�200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","DRUMNACOOHA, BALLINALEE, LONGFORD","Longford","","�85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","KILQUIRE UPPER, KILMAINE, MAYO","Mayo","F31TX00","�284,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","LETTERARD, CASHEL, GALWAY","Galway","H91XNH7","�90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","LOGNAFULLA, THURLES, TIPPERARY","Tipperary","E41P6R0","�235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","NEW RD, WHITEGATE, MIDLETON","Cork","P25DX80","�475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","No 6 Abbeyville, Galway Road, Roscommon","Roscommon","F42DF70","�303,965.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2024","PARKMORE, SHANAGOLDEN, CO LIMERICK","Limerick","","�167,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","RAILWAY VIEW, KNOCKLONG, CO LIMERICK","Limerick","V35E201","�145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","RATHPOLEEN, JOHNSTOWN, KILKENNY","Kilkenny","E41VW67","�350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2024","TOOROMIN, BOHOLA, COUNTY MAYO","Mayo","","�55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","1 DRIOM LIATH, COLLINS LANE, TULLAMORE","Offaly","R35A5W6","�235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","1 LEUKOS RD, RINGSEND, DUBLIN 4","Dublin","D04HE63","�540,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","1 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","1 THE WILLOWS, CLONBALT WOOD, LONGFORD","Longford","N39K6F7","�269,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","10 Hazelwood Place, Foxwood","Waterford","","�246,651.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","10 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","10 Rosetree Green, Curragh Farm, Ballymany","Kildare","","�370,045.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","100 BOHERMORE, PROSPECT HILL, GALWAY","Galway","H91WP5C","�435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","11 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","117 SHANLISS RD, SANTRY, DUBLIN 9","Dublin","D09W9A2","�460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","12 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","12 The Paddocks, Coolcotts, Wexford","Wexford","","�308,370.04","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","1249 RAILWAY TERRACE, TRALEE, CO KERRY","Kerry","V92AHP6","�110,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","13 KNOCKNAHORGAN COTTAGES, SALLYBROOK, GLANMIRE","Cork","T45WE09","�145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","13 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","13 SHANDON COURT, UPPER YELLOW RD, WATERFORD","Waterford","X91N92P","�137,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","13 THE CLAREMONT, SANTRY CROSS, DUBLIN 9","Dublin","D09PK80","�235,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","13 WELLINGTON ST, WATERFORD, WATERFORD","Waterford","X91KC6K","�140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","14 Leana Mor, Cappagh Road, Galway","Galway","","�286,343.60","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","14 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","14 Tully Park View, Cherrywood, Dublin 18","Dublin","","�629,955.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","159 ROSEBERRY HILL, NEWBRIDGE, KILDARE","Kildare","W12T320","�434,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","160 CUSTOM HALL, GARDINER ST, DUBLIN 1","Dublin","D01E282","�250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","17 CRONANS WELL CLOSE, RATHBEALE ROAD, MOORETOWN","Dublin","K67H1X8","�400,881.06","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","172 KEEPER RD, DRIMNAGH, DUBLIN 12","Dublin","D12WK29","�409,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","18 COLTHURST RISE, LUCAN, DUBLIN","Dublin","K78E402","�426,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","181 BEALIEU VILLAGE, TERMONFECKIN ROAD, DROGHEDA","Louth","","�303,964.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","189 Beaulieu Village, Termonfeckin Road, Drogheda","Louth","","�281,938.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","19 CHAPEL PLACE, FLEMINGS LANE, KILLARNEY","Kerry","V93V300","�160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","19 Rosetree Green, Curragh Farm, Ballymany","Kildare","","�317,180.60","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","19 STATION COURT, THE AVENUE, GOREY","Wexford","Y25AP97","�190,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","2 GOLDENS CORNER, MANORHAMILTON, LEITRIM","Leitrim","F91PK75","�55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","2 HARBOUR DRIVE, TULLAMORE, CO OFFALY","Offaly","R35HY23","�230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","2 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","2 ROCK CROSS, CAVAN, CAVAN","Cavan","H12V276","�210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","2 The Grove, Citywest Village","Dublin","","�418,502.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","21 Sorrel Green, Sorrel Wood, Blessington","Wicklow","","�392,070.48","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","22 BOYLE OREILLY TERRACE, DROGHEDA, LOUTH","Louth","A92PRC6","�227,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","25 Hallwell Green, Hallwell, Adamstown","Dublin","","�418,502.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","25 LISSADEL WOOD, SWORDS RD, MALAHIDE","Dublin","K36FE02","�550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","25 Newtown Avenue, The Meadows, Kill","Kildare","","�369,966.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","26 Rosetree Green, Curragh Farm, Ballymany","Kildare","","�374,449.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","29 BINSIN, WESTERN DISTRIBUTOR RD, GALWAY","Galway","H91VPH0","�295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","3 ferns wood, ferns bridge, monasterevin","Kildare","","�308,370.05","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","3 LAKESIDE, OLD CROBALLY RD, TRAMORE","Waterford","X91D1W5","�440,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","3 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","3 SOMERSWAY, BALLYCULLANE, NEW ROSS","Wexford","Y34FH60","�185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","31 CORRIB PARK, NEWCASTLE, GALWAY","Galway","H91AH2K","�195,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","31 WELLMOUNT CRESCENT, FINGLAS WEST, DUBLIN 11","Dublin","D11K3H9","�86,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","34 CRONANS WELL AVENUE, RATHBEALE ROAD, MOORETOWN","Dublin","K67W0C9","�458,149.78","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","36 STRANDFIELD MANOR, WEXFORD TOWN, WEXFORD","Wexford","","�273,127.75","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","4 Bawnogue View, The Bawnogues, Kilcock","Kildare","","�273,127.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","4 BROOK HOUSE, RICHMOND RD, DUBLIN 3","Dublin","D03FW58","�342,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","4 CARRIG AVENUE, CARRIG NA CURRA, CARRIGALINE","Cork","P43HF57","�360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","4 Maple Avenue, Foxburrow, Portlaoise","Laois","","�339,207.05","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","4 Mercer Way, Mercer Vale, Cherrywood","Dublin","","�568,281.93","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","4 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","4 RUSSELL CLOSE, DOORADOYLE, LIMERICK","Limerick","V94XP7W","�342,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","4 WOLFE TONE PLACE, LETTERKENNY, DONEGAL","Donegal","F92YK5R","�170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","42 THE CRESCENT, ST WOLSTANS ABBEY, CELBRIDGE","Kildare","W23H984","�318,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","45 MANOR VILLAGE, CASTLEBAR, MAYO","Mayo","F23C856","�215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","46 Maolchnoc, Ballymoneen Road, Ballyburke","Galway","","�320,000.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","47 FOYLE VIEW MANOR, CARRIGANS, CO. DONEGAL","Donegal","F93KC0H","�185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","5 GLEN WALK, THE PARK, CABINTEELY DUBLIN 18","Dublin","D18X2K8","�1,197,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","5 MOUNFAUN, OLD PARISH, DUNGARVAN","Waterford","X35RX32","�257,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","5 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","5 RING TERRACE, INCHICORE, DUBLIN 8","Dublin","D08VEV7","�378,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","51 CARRIGDESMOND, CHURCHTOWN, NEWCASTLEWEST","Limerick","V42E282","�250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","54 EAGLE VALLEY, ENNISKERRY, CO WICKLOW","Wicklow","A98YR81","�1,700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","56 Curragh Farm, Newbridge","Kildare","","�497,798.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2024","6 MAIN ST, CASTLEMARTYR, CORK","Cork","","�142,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","6 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","60 NEWCASTLE RD, NEWCASTLE, GALWAY CITY","Galway","H91ECD0","�380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","61 FAIRWAYS LAWNS, BETTYSTOWN, MEATH","Meath","A92E4P9","�305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","64 VERSCHOYLE PARK, CITYWEST, DUBLIN","Dublin","D24VK23","�430,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2024","7 Nead na Lachan, Claragh Road  Mountleader, Millstreet","Cork","","�316,132.00","Yes","Yes","New Dwelling house /Apartment",""
"04/01/2024","8 ADERRIG GROVE, ADAMSTOWN, LUCAN","Dublin","K78X5K5","�383,260.00","No","Yes","New Dwelling house /Apartment",""
